YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ARRIVAL_DELAY,DISTANCE
2015,1,1,4,EV,4160,N11150,JAX,EWR,540,531,-9,9,540,137,132,109,729,14,757,743,0,0,,NA,NA,NA,NA,NA,-14,820
2015,1,1,4,AA,1635,N025AA,ATL,DFW,625,NA,NA,NA,NA,150,NA,NA,NA,NA,755,NA,0,1,B,NA,NA,NA,NA,NA,NA,731
2015,1,1,4,WN,119,N271LV,RSW,ATL,800,754,-6,11,805,105,100,84,929,5,945,934,0,0,,NA,NA,NA,NA,NA,-11,515
2015,1,1,4,EV,4936,N738EV,MSP,IAD,900,901,1,56,957,148,159,100,1237,3,1228,1240,0,0,,NA,NA,NA,NA,NA,12,908
2015,1,1,4,DL,2319,N960DL,LGA,MSP,1010,1010,0,22,1032,200,195,171,1223,2,1230,1225,0,0,,NA,NA,NA,NA,NA,-5,1020
2015,1,1,4,DL,1806,N594NW,LAX,DTW,1115,1113,-2,15,1128,266,248,226,1814,7,1841,1821,0,0,,NA,NA,NA,NA,NA,-20,1979
2015,1,1,4,AA,1509,N3BGAA,BWI,MIA,1309,1300,-9,12,1312,161,150,133,1525,5,1550,1530,0,0,,NA,NA,NA,NA,NA,-20,946
2015,1,1,4,OO,5354,N472CA,ORD,MBS,1317,1349,32,27,1416,66,70,39,1555,4,1523,1559,0,0,,4,0,11,21,0,36,222
2015,1,1,4,EV,5331,N861AS,ATL,CAE,1457,1452,-5,16,1508,59,51,33,1541,2,1556,1543,0,0,,NA,NA,NA,NA,NA,-13,192
2015,1,1,4,UA,1062,N73291,DCA,DEN,1603,1603,0,12,1615,249,272,248,1823,12,1812,1835,0,0,,23,0,0,0,0,23,1476
2015,1,1,4,EV,4230,N11106,DIK,DEN,1631,NA,NA,NA,NA,104,NA,NA,NA,NA,1815,NA,0,1,C,NA,NA,NA,NA,NA,NA,488
2015,1,1,4,DL,1336,N972DL,MCO,CVG,1645,1645,0,11,1656,130,125,108,1844,6,1855,1850,0,0,,NA,NA,NA,NA,NA,-5,757
2015,1,1,4,US,705,N567UW,CLT,LAS,1800,1813,13,15,1828,295,289,266,1954,8,1955,2002,0,0,,NA,NA,NA,NA,NA,7,1916
2015,1,1,4,AA,2237,N3CJAA,DCA,DFW,1859,1854,-5,9,1903,210,205,186,2109,10,2129,2119,0,0,,NA,NA,NA,NA,NA,-10,1192
2015,1,1,4,UA,1468,N68807,IAH,SEA,1912,1924,12,9,1933,289,259,245,2138,5,2201,2143,0,0,,NA,NA,NA,NA,NA,-18,1874
2015,1,1,4,WN,688,N242WN,MKE,STL,1945,1951,6,9,2000,75,69,55,2055,5,2100,2100,0,0,,NA,NA,NA,NA,NA,0,317
2015,1,2,5,OO,4732,N821SK,BNA,DTW,630,645,15,12,657,102,92,72,909,8,912,917,0,0,,NA,NA,NA,NA,NA,5,456
2015,1,2,5,WN,4476,N769SW,PHL,MDW,635,630,-5,10,640,145,142,126,746,6,800,752,0,0,,NA,NA,NA,NA,NA,-8,668
2015,1,2,5,MQ,2795,N614MQ,HOU,DFW,855,851,-4,10,901,70,75,46,947,19,1005,1006,0,0,,NA,NA,NA,NA,NA,1,247
2015,1,2,5,US,2065,N534UW,CLT,IAH,1120,1128,8,11,1139,163,176,154,1313,11,1303,1324,0,0,,13,0,8,0,0,21,912
2015,1,2,5,HA,529,N486HA,OGG,HNL,1228,1221,-7,8,1229,36,41,24,1253,9,1304,1302,0,0,,NA,NA,NA,NA,NA,-2,100
2015,1,2,5,OO,5211,N943SW,IDA,DEN,1338,1428,50,31,1459,91,122,64,1603,27,1509,1630,0,0,,31,0,0,50,0,81,458
2015,1,2,5,HA,335,N477HA,OGG,HNL,1503,1644,101,10,1654,37,50,23,1717,17,1540,1734,0,0,,0,0,25,89,0,114,100
2015,1,2,5,US,1885,N764US,STL,CLT,1615,1638,23,9,1647,106,97,79,1906,9,1901,1915,0,0,,NA,NA,NA,NA,NA,14,575
2015,1,2,5,EV,5207,N933EV,GSO,ATL,1825,1825,0,19,1844,87,95,66,1950,10,1952,2000,0,0,,NA,NA,NA,NA,NA,8,306
2015,1,2,5,US,548,N829AW,PHX,MKE,1940,1941,1,13,1954,194,191,172,2346,6,2354,2352,0,0,,NA,NA,NA,NA,NA,-2,1460
2015,1,2,5,AA,1147,N3BXAA,MIA,LAX,2100,2137,37,34,2211,357,353,314,25,5,2357,30,0,0,,0,0,12,21,0,33,2342
2015,1,2,5,US,558,N950UW,PHL,BOS,2245,2241,-4,8,2249,73,61,50,2339,3,2358,2342,0,0,,NA,NA,NA,NA,NA,-16,280
2015,1,3,6,AA,1233,N3LBAA,BOS,DFW,555,550,-5,18,608,275,292,260,928,14,930,942,0,0,,NA,NA,NA,NA,NA,12,1562
2015,1,3,6,AA,2363,N488AA,OKC,DFW,600,557,-3,15,612,65,62,43,655,4,705,659,0,0,,NA,NA,NA,NA,NA,-6,175
